TopmostParent,Estimatedvalue,msa_msaprobability,StateCode,msa_projectleadselectiontype
,78020.1,96.9,4,161808834
G34591803,755178.5,96.9,4,161808834
N14279047,27873.5,96.9,4,161808834
X29294842,40934.9,96.9,4,161808834
X43570717,48689.1,96.9,4,161808834
